Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
77,M-5748,SAI PATHOLOGY CLINIC,nabl043399,2022,Medical,First Accreditation,ABHISHEK CHANDRA GUPTA,saipathologyclinic@gmail.com,9305950861,"D 58/19-B, P.N. PLAZA, SIGRA CROSSING",Uttar Pradesh,Varanasi,221010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7871,10/01/2026,09/01/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
78,M-5623,BIOCHEMISTRY LABORATORY - NARUVI HOSPITALS,nabl043403,2022,Medical,First Accreditation,R.SELVAKUMAR,selvakumar@naruvihospitals.com,9894299050,"COLLECTOR'S OFFICE ROAD, BANGLORE-CHENNAI HIGH WAY",Tamil Nadu,Vellore,632004,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7580,28/08/2025,27/08/2029,,,Archive Applications,May 13 2026 7:30AM
79,M-5643,MAHENDRA GAYATRI HOSPITAL-DEPARTMENT OF PATHOLOGY,nabl043408,2022,Medical,First Accreditation,VEER MAHENDRA PAL SINGH,mghnabl2@gmail.com,8979933202,"ASHRAF KHAN CHHAWNI, KUDESIA FATAK",Uttar Pradesh,Bareilly,243001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7854,31/12/2025,30/12/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
80,M-5890,"CLINICAL IMMUNOLOGY LABORATORY , DEPARTMENT OF RHEUMATOLOGY",nabl043431,2022,Medical,First Accreditation,KAUSTAV CHOWDHURY,Kaustavnabl@gmail.com,9971695631,"4TH FLOOR, TEACHING BLOCK, DEPARTMENT OF RHEUMATOLOGY, AIIMS, ANSARI NAGAR",Delhi,New Delhi,110029,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-8054,23/04/2026,22/04/2030,,,Archive Applications,May 13 2026 7:30AM
81,M-5777,"Laboratory Services, Bowring and Lady Curzon Hospital, Shri Atal Bihari Vajpayee Medical College and Research Institute",nabl043462,2022,Medical,First Accreditation,SUMATHI ME,drsuma_bio@yahoo.co.in,9740371006,"78-4-42, S Y NO 205, HOSPITAL ROAD, SHIVAJINAGAR",Karnataka,Bengaluru,560001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7650,27/09/2025,26/09/2029,,,Gayathri S,May 13 2026 7:30AM
82,M-5736,SRI KAUVERY MEDICAL CARE (INDIA) LIMITED,nabl043474,2022,Medical,First Accreditation,THAINES AROCKIA PRINCE,lab.nellai@kauveryhospital.com,9443612127,"No. 110E / 20 / 1, North Bypass Road, Vannarpettai",Tamil Nadu,Tirunelveli,627003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7724,31/10/2025,30/10/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
83,M-5682,"DEPARTMENT OF LABORATORY MEDICINE, STAR HOSPITALS (A UNIT OF UNIMED HEALTH CARE PRIVATE LIMITED)",nabl043488,2022,Medical,First Accreditation,TAMEEM AFROZ,lab.nrg@starhospitals.co.in,8712608198,"SURVEY NO. 74, NANAKRAMGUDA VILLAGE, SERILINGAMPALLY MANDAL, FINANCIAL DISTRICT, RANGA REDDY",Telangana,Hyderabad,500008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7757,15/11/2025,14/11/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
84,M-5658,APPLE DIAGNOSTIC AND MEDICAL CENTRE (A UNIT OF AVANTHI HEALTHCARE PRIVATE LIMITED),nabl043520,2022,Medical,First Accreditation,A RAKESH VAMSHI,applediagnostichyd@gmail.com,9000390078,"D.NO: 12-19-24/1, 1ST FLOOR, GREEN HILLS ROAD, SEVALAL NAGAR, MOOSAPET, MEDCHAL DISTRICT",Telangana,Hyderabad,500018,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7609,13/09/2025,12/09/2029,,,Archive Applications,May 13 2026 7:30AM
85,M-5826,SYMMERS HEALTHCARE PATHOLOGY LABORATORY PRIVATE LIMITED,nabl043527,2022,Medical,First Accreditation,UMANG GANDHI,symmershealthcare@gmail.com,9824267669,"229, SBTC Complex",Gujarat,Ahmedabad,380058,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7970,25/02/2026,24/02/2030,,,Gayathri S,May 13 2026 7:30AM
86,M-6014,DR. LAL PATHLABS LIMITED,nabl043556,2022,Medical,First Accreditation,NISHANT BHAGOLIWAL,nishant.bhagoliwal@lalpathlabs.com,7351989155,"GROUND & FIRST FLOOR, N-1/61, B-6, NAGWACHUNGI, LANKA",Uttar Pradesh,Varanasi,221005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-8064,28/04/2026,27/04/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
87,M-5707,"LLOYDS KALI AMMAL MEMORIAL HOSPITAL, LLOYDS INFINITE FOUNDATION (DEPARTMENT OF LABORATORY SERVICES)",nabl043587,2022,Medical,First Accreditation,S MURUGAN,mgs@lloyds.in,7598138930,"KHATA NO. 42, SURVEY NO. 7, LLOYDS BUILDING COMPLEX, VILLAGE HEDRI, TALUKA ETAPALLI",Maharashtra,Gadchiroli,442704,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7579,28/08/2025,27/08/2029,,,Archive Applications,May 13 2026 7:30AM
88,M-5628,NORTH BANK DIAGNOSTIC CENTRE (UNIT OF M/S REFCON CONSULTANT PVT. LTD.),nabl043614,2022,Medical,First Accreditation,SUDIPTA ADHIKARY,northbank2004@rediffmail.com,7980840454,"320, G.T. ROAD (NORTH)",West Bengal,Howrah,711106,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7458,24/06/2025,23/06/2029,,,Archive Applications,May 13 2026 7:30AM
89,M-5618,REDPATH DIAGNOSTICS,nabl043639,2022,Medical,First Accreditation,VIKRAM UPPAL,vikr2609@gmail.com,8965074535,"SCO H8 & H9, ANSAL API, KHARAR, LANDRAN ROAD, SECTOR 114",Punjab,Mohali,140307,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7338,30/04/2025,12/02/2029,,,Archive Applications,May 13 2026 7:30AM
90,M-5629,NOVA MEDICAL SERVICES LLP (DEPARTMENT OF LABORATORY SERVICES),nabl043653,2022,Medical,Renewal of Accreditation,Raju Kanthal,novamedicalservices@gmail.com,9875445003,"67,DIAMOND HARBOUR ROAD",West Bengal,Kolkata,700008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7257,15/09/2025,14/09/2029,,,Archive Applications,May 13 2026 7:30AM
91,M-5630,ASSURED DIAGNOSTICS,nabl043666,2022,Medical,Renewal of Accreditation,SUPRIYA NALAWADE,assured.diagnostics14@gmail.com,9167474226,"13, PRATIKSHA CHS. LTD., PLOT NO 55, SECTOR 15",Maharashtra,Navi Mumbai,400709,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7225,30/05/2025,29/05/2029,,05/06/2025,Archive Applications,May 13 2026 7:30AM
92,M-5776,"CENTRAL LABORATORY, PANIMALAR MEDICAL COLLEGE HOSPITAL & RESEARCH INSTITUTE",nabl043691,2022,Medical,First Accreditation,SURAPANENI KRISHNA MOHAN,krishnamohan.surapaneni@gmail.com,9789099989,"VARADHARAJAPURAM, POONAMALLEE",Tamil Nadu,Chennai,600123,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7883,16/01/2026,15/01/2030,,,Archive Applications,May 13 2026 7:30AM
93,M-5745,"OCULAR PATHOLOGY DR. R. P. CENTRE, AIIMS, NEW DELHI",nabl043712,2022,Medical,First Accreditation,NEELIMA SHARMA,neelimaaiims@gmail.com,9871213199,"ROOM NO.724, 7TH FLOOR, OCULAR PATHOLOGY, Dr. Rajendra Prasad Centre For Ophthalmic Sciences, AIIMS, ANSARI NAGAR",Delhi,New Delhi,110029,Accreditation Certificate Approved and Issued,Haematology,,MC-7758,15/11/2025,14/11/2029,,,Archive Applications,May 13 2026 7:30AM
94,M-5768,SSAKHI DIAGNOSTICS & HEALTHCARE,nabl043720,2022,Medical,First Accreditation,RATTAN GURNANI,admin@ssakhidiagnostics.com,9818115559,"W-4, WEST PATEL NAGAR",Delhi,New Delhi,110008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7608,13/09/2025,12/09/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
95,M-5632,AGILUS DIAGNOSTICS LIMITED,nabl043729,2022,Medical,Renewal of Accreditation,ASHISH TRIPATHI,ashishkumar.tripathi@agilus.in,9871195775,"A/1/17, PRASHANT VIHAR, OUTER RING ROAD, ROHINI EAST",Delhi,New Delhi,110085,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7343,20/03/2026,19/03/2030,,,Archive Applications,May 13 2026 7:30AM
96,M-5633,DR. SHWETA'S PATHLAB AND DIAGNOSTIC CENTRE,nabl043730,2022,Medical,Renewal of Accreditation,SHWETA JAIN,dspl1313@gmail.com,9910137438,"SCO 188/18, PLOT NO. 10, FRIENDS COLONY, SECTOR 15, MAIN JHARSA ROAD",Haryana,Gurugram,122003,Accreditation Certificate Approved and Issued,"Haematology,Clinical Pathology",,MC-7347,28/08/2025,27/08/2029,,,Archive Applications,May 13 2026 7:30AM
97,M-5796,DIVINE LAB,nabl043762,2022,Medical,First Accreditation,KAUSHIK PATEL,divinepathlab@gmail.com,8141278475,"SF 201-202 , MANGAL KIRTI APARTMENT",Gujarat,Vadodara,390002,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7785,25/11/2025,24/11/2029,,,Gayathri S,May 13 2026 7:30AM
98,M-5659,SANSKRUTI DIAGNOSTICS PRIVATE LIMITED,nabl043772,2022,Medical,First Accreditation,SANTOSH GAIKWAD,sanskrutidaignostics@gmail.com,9021691816,"RM-08, MAHARANAPRATAP CHOUK, BAJAJ NAGAR, MIDC WALUJ, GANGAPUR",Maharashtra,Aurangabad,431136,Accreditation Certificate Approved and Issued,Haematology,,MC-7546,07/08/2025,06/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
99,M-5638,KRSNAA DIAGNOSTICS LTD,nabl043777,2022,Medical,First Accreditation,VINOD LONKAR,quality.pune@krsnaa.in,9822945055,"1ST FLOOR, SUYASH CHAMBER, AMBAD LINK RD, ABHIYANTA NAGAR",Maharashtra,Nashik,422008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7337,30/04/2025,21/05/2026,,,Archive Applications,May 13 2026 7:30AM
100,M-5639,ASIT KUMAR DEY MEMORIAL CROSSLAND DIAGNOSTIC CENTRE PRIVATE LIMITED,nabl043811,2022,Medical,Renewal of Accreditation,SHANKAR PROSAD DEY,akd.crossland.diag@gmail.com,9830048432,"61/U, G.T. ROAD (W)",West Bengal,Shrirampur,712203,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7515,18/07/2025,17/07/2029,,,Archive Applications,May 13 2026 7:30AM
1,M-5976,PATHCARE DIAGNOSTICS (A UNIT OF PATHCARE LABS PRIVATE LIMITED),nabl043882,2022,Medical,First Accreditation,B PARVATHI DEVI,dr.parvathi@pathcarelabs.com,9949998558,"REGIONAL LABORATORY - PLOT NO.127/128, SANTH DHYANESHWAR SOCIETY, MANEWADA, UDAY NAGAR RING ROAD",Maharashtra,Nagpur,440034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7928,03/02/2026,02/02/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
2,M-5646,SARAL DIAGNOSTICS,nabl043907,2022,Medical,Renewal of Accreditation,POONAM SAHNI,saraldiagnostics84@gmail.com,9810985841,2 & 3 SHAKTI VIHAR PITAMPURA,Delhi,Delhi,110034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7294,08/07/2025,07/07/2029,,,Archive Applications,May 13 2026 7:30AM
3,M-5758,MYLABS HEALTHCARE (A UNIT OF Reliability Healthcare PRIVATE LIMITED),nabl043944,2022,Medical,First Accreditation,ALEKH SHARMA,ceo@mylabs.care,9314977702,"615, NMS ICON, SHAGUN CHOWK, SECTOR- 19, ULWE, NAVI MUMBAI",Maharashtra,Mumbai,410206,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7593,06/09/2025,05/09/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
4,M-5650,SIMIRA UNIPATH DIAGNOSTICS PRIVATE LIMITED,nabl043957,2022,Medical,NABL 201,PURVI SHAH,qualitymanager@simirahealthcare.com,9324515280,"OFFICE NO. 405, PLOT NO 34 & 34A, KHANDA COLONY",Maharashtra,Panvel,410206,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology",,MC-7313,17/11/2025,04/09/2026,,,Gayathri S,May 13 2026 7:30AM
5,M-5665,DR. REMEDIES LABS PRIVATE LIMITED,nabl043967,2022,Medical,First Accreditation,M Uday Kumar,uday.kumar@remedieslabs.com,9962302970,"WZ-129, KH.NO.1791/2, 3RD FLOOR, OLD LAL DORA VILLAGE, NARAINA",Delhi,Delhi,110028,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7628,17/09/2025,16/09/2029,,,Archive Applications,May 13 2026 7:30AM
6,M-5680,CHANDAN HOSPITAL-LAB SERVICES (A UNIT OF CHANDAN SUPER SPECIALITY HOSPITAL LIMITED),nabl043968,2022,Medical,First Accreditation,BRAHM PRAKASH,brahm1976@gmail.com,9839901158,"PLOT NO. 503, KHASRA NO. 247, BHOTIA PARAO, MB INTER COLLEGE ROAD",Uttarakhand,Haldwani,263139,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7594,06/09/2025,05/09/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
7,M-5651,APOLLO HEALTH AND LIFESYTLE LIMITED,nabl044004,2022,Medical,Renewal of Accreditation,MANDRITA DAS,mandrita.d@apollodiagnostics.in,9836267068,"5TH FLOOR, ABC SQUARE BUILDING, 203-1111, STREET NO. 1111, MAJOR ARTERIAL STREET, NEWTOWN",West Bengal,Kolkata,700161,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-7997,16/03/2026,15/03/2030,,,Archive Applications,May 13 2026 7:30AM
8,M-5914,CANCER INSTITUTE (WIA) ADYAR- LABORATORY SERVICES,nabl044039,2022,Medical,First Accreditation,DR THUTHI MOHAN,drthuthimohan@gmail.com,9884516114,"38, DR. S. KRISHNAMURTHY CAMPUS, SARDAR PATEL ROAD, GUINDY",Tamil Nadu,Chennai,600036,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--No Data--",MC-7896,21/01/2026,20/01/2030,,,Archive Applications,May 13 2026 7:30AM
9,M-5676,MIDNAPORE SCAN CENTRE PVT. LTD. (DEPARTMENT OF LABORATORY MEDICINE) - KHARAGPUR BRANCH,nabl044080,2022,Medical,First Accreditation,RAHUL SAHOO,lab.mscplkgp@gmail.com,8370829558,"442/366, TALJHULI, S D HOSPITAL ROAD",West Bengal,Kharagpur,721301,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7680,11/10/2025,10/10/2029,,,Archive Applications,May 13 2026 7:30AM
10,M-5677,SIKUND DIAGNOSTIC CENTRE,nabl044088,2022,Medical,First Accreditation,PRANOY PAUL,sikundnabl@gmail.com,9678272998,"19, NEW SURVEY ROAD",Uttarakhand,Dehradun,248001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7582,28/08/2025,27/08/2029,,,Archive Applications,May 13 2026 7:30AM
11,M-6028,MILLENIUM DIAGNOSTIC CENTRE,nabl044099,2022,Medical,First Accreditation,JOY DUTTA,millenium.mdc2@gmail.com,6297571742,"HOLDING NUMBER - 518/100/92, KACHARI ROAD, BURNPUR ROAD, PASCHIM BARDHAMAN",West Bengal,Asansol,713304,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology & Immunohaematology",,MC-8058,27/04/2026,26/04/2030,,,Archive Applications,May 13 2026 7:30AM
12,M-5723,AMINO DIAGNOSTICS PRIVATE LIMITED,nabl044105,2022,Medical,First Accreditation,Mahesh Chand,mryadavcreation@gmail.com,9968223418,"ED-17-A, GROUND FLOOR, PITAMPURA",Delhi,New Delhi,110034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7568,18/08/2025,17/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
13,M-5695,CHANDAN DIAGNOSTIC CENTRE (A UNIT OF CHANDAN HEALTHCARE LIMITED),nabl044110,2022,Medical,First Accreditation,BRAHM PRAKASH,brahm1976@gmail.com,9839901158,"CP-143, SECTOR D 1, LDA COLONY, ASHIYANA",Uttar Pradesh,Lucknow,226012,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7821,12/12/2025,11/12/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
14,M-5672,DOLPHIN DIAGNOSTIC SERVICES (A UNIT OF DOLPHIN MEDICARE PRIVATE LIMITED),nabl044113,2022,Medical,First Accreditation,DR V SURESH,satishstsh022@gmail.com,9866178091,"18-1-18, KGH DOWN ROAD, MAHARANIPETA",Andhra Pradesh,Visakhapatnam,530002,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7720,31/10/2025,30/10/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
15,M-5693,MAMATA DIAGNOSTIC & POLYCLINIC PVT. LTD,nabl044152,2022,Medical,First Accreditation,HIMADRI KOLEY,mamatadiagnostic@gmail.com,9531755123,"49/A, DEY STREET SERAMPORE",West Bengal,Hooghly,712201,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7714,30/10/2025,29/10/2029,,,Gayathri S,May 13 2026 7:30AM
16,M-5769,SHRIPRASAD DIAGNOSTIC LABORATORY (OPC) PRIVATE LIMITED,nabl044154,2022,Medical,First Accreditation,Mrs.Varsha Shikerkar,varsha.spdl@gmail.com,9168206023,"SHOP NO. C-9, UPPER GROUND FLOOR, C WING DK ARCADE, SADAR",Goa,Ponda,403401,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-7946,10/02/2026,09/02/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
17,M-5863,BALAJI MEDICAL CENTRE PRIVATE LIMITED,nabl044157,2022,Medical,First Accreditation,A H BALAJI,dr@balajimedicalcentre.com,9841026719,"NO.66/2345A, VEEKSHANAM ROAD",Kerala,Ernakulam,682018,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7730,05/11/2025,04/11/2029,,,Gayathri S,May 13 2026 7:30AM
18,M-5892,"HINDLABS DIAGNOSTIC CENTRE, THE UNIT OF HLL LIFECARE LIMITED",nabl044159,2022,Medical,First Accreditation,BHASWATI PATRA,hindlabsnihkolkata@lifecarehll.com,8838922445,"NATIONAL INSTITUTE OF HOMEOPATHY, BLOCK- GE, SECTOR- 3, SALT LAKE",West Bengal,Kolkata,700106,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7895,21/01/2026,20/01/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
19,M-5734,UNIVERSE DIAGNOSTICS (OPC) PRIVATE LIMITED,nabl044170,2022,Medical,First Accreditation,POONAM MAURYA,universenabl@gmail.com,8422819719,"PAARIJAT CHS, OFFICE NO. 201, 202, DATTA MANDIR ROAD, DHANUKAR WADI, KANDIVALI WEST",Maharashtra,Mumbai,400067,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Microbiology & Infectious disease serology",,MC-7634,23/09/2025,22/09/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
20,M-5858,TRUECHECK DIAGNOSTICS LLP,nabl044180,2022,Medical,First Accreditation,AMEERA DHOND DESHMUKH,ameera@truecheckdiagnostics.com,7045227999,"Shop No. 1, 2, 3 and 16, Plot No. 379, X - Point, S. V. Road, Kandivali West",Maharashtra,Mumbai,400067,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,MI CAB - CT,MI CAB - MRI,MI CAB - Ultrasound and Color Doppler,MI CAB - Projectional Radiography and Fluoroscopy,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7834,23/12/2025,22/12/2029,,,Archive Applications,May 13 2026 7:30AM
21,M-5669,DR. CHHABRA PATHOLOGY CENTRE,nabl044200,2022,Medical,Renewal of Accreditation,DIVYE CHHABRA,chhabrapath@gmail.com,9358100355,"35/1, SUBHASH ROAD, VASUNDHARA ENCLAVE",Uttarakhand,Dehradun,248001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7328,26/09/2025,25/09/2029,,,Archive Applications,May 13 2026 7:30AM
22,M-5670,"DEPARTMENT OF PATHOLOGY AND LABORATORY MEDICINE, MEDANTA, LUCKNOW",nabl044206,2022,Medical,First Accreditation,ASHISH PAWAR,ashish.pawar@medanta.org,9911947071,"SECTOR A, POCKET 1, SUSHANT GOLF CITY",Uttar Pradesh,Lucknow,226030,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7305,09/04/2025,25/06/2026,,,Archive Applications,May 13 2026 7:30AM
23,M-5810,"ROBOTIC CORE CLINICAL LABORATORY, NATIONAL CANCER INSTITUTE, ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JHAJJAR",nabl044230,2022,Medical,First Accreditation,TANIMA DWIVEDI,roboticlabnci@gmail.com,7406741788,"FIRST FLOOR, DIAGNOSTIC BLOCK, NATIONAL CANCER INSITITUTE, ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BADLI",Haryana,Jhajjar,124105,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Microbiology & Infectious disease serology",,MC-7917,29/01/2026,28/01/2030,,,Archive Applications,May 13 2026 7:30AM
24,M-5815,V-V CARE DIAGNOSTICS AND MEDICAL CENTER,nabl044252,2022,Medical,First Accreditation,Nikita Gidwani,vcarebhiwandi@gmail.com,9109999888,"H. NO. 79, 80, BASEMENT OF ABDULLAH ARCADE, PRABHU ALI, MANDAI",Maharashtra,Bhiwandi,421302,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Microbiology & Infectious disease serology",,MC-7908,27/01/2026,26/01/2030,,,Gayathri S,May 13 2026 7:30AM
25,M-5673,NMB DIAGNOSTICS,nabl044254,2022,Medical,Renewal of Accreditation,JAY MADHAB BANIK,nmbdiagnosticcentre@gmail.com,9830816335,"1, SADGOPE PARA LANE, SERAMPORE",West Bengal,Hooghly,712202,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7324,28/08/2025,27/08/2029,,,Archive Applications,May 13 2026 7:30AM
